Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2010","2010","%","36.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2015","2015","%","39.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2010","2010","%","21.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2015","2015","%","22.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2010","2010","%","33.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2015","2015","%","32.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2010","2010","%","10.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2015","2015","%","11","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2010","2010","%","46.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2015","2015","%","45","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2010","2010","%","17.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2015","2015","%","16.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2010","2010","%","13.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","032","Argentina","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2015","2015","%","12.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2010","2010","%","18","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","051","Armenia","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2015","2015","%","17.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","036","Australia","6121","Value","21043","Prevalence of anemia among women of reproductive age (15-49 years)","2010","2010","%","7.3","X","Figure from international organizations",""
