Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FS,Suite of Food Security Indicators,4,Afghanistan,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20042006,2004-2006,g/capita/day,33.6,E,Estimated value,
FS,Suite of Food Security Indicators,4,Afghanistan,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20092011,2009-2011,g/capita/day,33.4,E,Estimated value,
FS,Suite of Food Security Indicators,4,Afghanistan,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20142016,2014-2016,g/capita/day,39.7,E,Estimated value,
FS,Suite of Food Security Indicators,4,Afghanistan,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20192021,2019-2021,g/capita/day,,O,Missing value,
FS,Suite of Food Security Indicators,8,Albania,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20042006,2004-2006,g/capita/day,89,E,Estimated value,
FS,Suite of Food Security Indicators,8,Albania,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20092011,2009-2011,g/capita/day,102.7,E,Estimated value,
FS,Suite of Food Security Indicators,8,Albania,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20142016,2014-2016,g/capita/day,112.3,E,Estimated value,
FS,Suite of Food Security Indicators,8,Albania,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20192021,2019-2021,g/capita/day,,O,Missing value,
FS,Suite of Food Security Indicators,12,Algeria,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20042006,2004-2006,g/capita/day,64,E,Estimated value,
FS,Suite of Food Security Indicators,12,Algeria,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20092011,2009-2011,g/capita/day,80.8,E,Estimated value,
FS,Suite of Food Security Indicators,12,Algeria,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20142016,2014-2016,g/capita/day,97,E,Estimated value,
FS,Suite of Food Security Indicators,12,Algeria,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20192021,2019-2021,g/capita/day,,O,Missing value,
FS,Suite of Food Security Indicators,16,American Samoa,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20042006,2004-2006,g/capita/day,,O,Missing value,
FS,Suite of Food Security Indicators,16,American Samoa,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20092011,2009-2011,g/capita/day,,O,Missing value,
FS,Suite of Food Security Indicators,16,American Samoa,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20142016,2014-2016,g/capita/day,,O,Missing value,
FS,Suite of Food Security Indicators,16,American Samoa,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20192021,2019-2021,g/capita/day,,O,Missing value,
FS,Suite of Food Security Indicators,20,Andorra,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20042006,2004-2006,g/capita/day,,O,Missing value,
FS,Suite of Food Security Indicators,20,Andorra,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20092011,2009-2011,g/capita/day,,O,Missing value,
FS,Suite of Food Security Indicators,20,Andorra,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20142016,2014-2016,g/capita/day,,O,Missing value,
FS,Suite of Food Security Indicators,20,Andorra,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20192021,2019-2021,g/capita/day,,O,Missing value,
FS,Suite of Food Security Indicators,24,Angola,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20042006,2004-2006,g/capita/day,44.4,E,Estimated value,
FS,Suite of Food Security Indicators,24,Angola,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20092011,2009-2011,g/capita/day,53.4,E,Estimated value,
FS,Suite of Food Security Indicators,24,Angola,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20142016,2014-2016,g/capita/day,59.9,E,Estimated value,
FS,Suite of Food Security Indicators,24,Angola,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20192021,2019-2021,g/capita/day,,O,Missing value,
FS,Suite of Food Security Indicators,28,Antigua and Barbuda,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20042006,2004-2006,g/capita/day,79,E,Estimated value,
FS,Suite of Food Security Indicators,28,Antigua and Barbuda,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20092011,2009-2011,g/capita/day,89.7,E,Estimated value,
FS,Suite of Food Security Indicators,28,Antigua and Barbuda,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20142016,2014-2016,g/capita/day,92.3,E,Estimated value,
FS,Suite of Food Security Indicators,28,Antigua and Barbuda,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20192021,2019-2021,g/capita/day,,O,Missing value,
FS,Suite of Food Security Indicators,32,Argentina,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20042006,2004-2006,g/capita/day,105,E,Estimated value,
FS,Suite of Food Security Indicators,32,Argentina,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20092011,2009-2011,g/capita/day,106,E,Estimated value,
FS,Suite of Food Security Indicators,32,Argentina,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20142016,2014-2016,g/capita/day,118.7,E,Estimated value,
FS,Suite of Food Security Indicators,32,Argentina,6123,Value,21061,Average fat supply (g/cap/day) (3-year average),20192021,2019-2021,g/capita/day,,O,Missing value,
