Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","36.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","21.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","21.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","29.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","8.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","5.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","4.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","3.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","6.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","4.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","2.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","52.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","23.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","14.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","20.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","","O","Missing value",""
